id;nummer;dokument;text;data;data_content_type;created
1;azure hierarchy Keyboard;ANTRAG;Berkshire Soft Fiji Dollar;../fake-data/blob/hipster.png;image/png;2020-12-16T23:05:49
2;Gorgeous Wooden Salad Washington;ANGEBOT;British Indian Ocean Territory (Chagos Archipelago);../fake-data/blob/hipster.png;image/png;2020-12-16T16:16:32
3;FTP;ANTRAG;Latvian Lats;../fake-data/blob/hipster.png;image/png;2020-12-16T19:01:33
4;Chair;ANTRAG;Borders;../fake-data/blob/hipster.png;image/png;2020-12-16T10:14:36
5;Rhode Island;ANGEBOT;Tasty;../fake-data/blob/hipster.png;image/png;2020-12-16T11:46:04
6;Canyon Officer;POLICE;Planner exploit optical;../fake-data/blob/hipster.png;image/png;2020-12-16T17:56:24
7;Generic Identity;ANGEBOT;International;../fake-data/blob/hipster.png;image/png;2020-12-16T15:33:51
8;connect;ANGEBOT;functionalities;../fake-data/blob/hipster.png;image/png;2020-12-17T09:41:58
9;Bhutan Table Forward;POLICE;web services;../fake-data/blob/hipster.png;image/png;2020-12-16T21:35:29
10;innovative;ANTRAG;Directives;../fake-data/blob/hipster.png;image/png;2020-12-17T02:12:39
