id;an;betreff;text;anhang;anhang_content_type;status;created
1;e-services Lodge;Architect;payment leverage;../fake-data/blob/hipster.png;image/png;UNGELESEN;2020-12-16T17:38:07
2;New Hampshire;AGP synergistic;local;../fake-data/blob/hipster.png;image/png;ARCHIVIERT;2020-12-16T14:20:11
3;Shoes;transmit program;indexing;../fake-data/blob/hipster.png;image/png;ARCHIVIERT;2020-12-17T00:17:21
4;EXE;Salad Islands;intuitive;../fake-data/blob/hipster.png;image/png;ARCHIVIERT;2020-12-16T14:32:56
5;Liaison technologies;Optimization sexy;FTP plum portals;../fake-data/blob/hipster.png;image/png;UNGELESEN;2020-12-16T22:21:05
6;Rustic parsing;circuit users Sausages;Northern Mariana Islands;../fake-data/blob/hipster.png;image/png;UNGELESEN;2020-12-17T01:30:46
7;Massachusetts Views;Paradigm;Buckinghamshire;../fake-data/blob/hipster.png;image/png;GELESEN;2020-12-17T06:34:07
8;Car target;multi-byte engage Lead;application;../fake-data/blob/hipster.png;image/png;GELESEN;2020-12-17T05:28:35
9;regional;protocol responsive;Lead extensible Ball;../fake-data/blob/hipster.png;image/png;UNGELESEN;2020-12-16T14:10:35
10;Fantastic Steel Computer FTP;Home Unbranded Rubber Sausages Outdoors;Vermont;../fake-data/blob/hipster.png;image/png;ARCHIVIERT;2020-12-17T06:56:09
