id;vsnr;text;anhang;anhang_content_type;created
1;static Zambian Kwacha;calculate SAS;../fake-data/blob/hipster.png;image/png;2020-12-16T22:44:18
2;Salad;communities;../fake-data/blob/hipster.png;image/png;2020-12-16T10:50:38
3;Alaska Specialist Handcrafted;metrics programming;../fake-data/blob/hipster.png;image/png;2020-12-16T11:06:24
4;responsive azure calculate;hacking Dynamic;../fake-data/blob/hipster.png;image/png;2020-12-16T21:01:21
5;Soap bandwidth lavender;Egypt Profit-focused;../fake-data/blob/hipster.png;image/png;2020-12-17T01:30:16
6;Brooks Intelligent Soft Chair;calculate frame Corners;../fake-data/blob/hipster.png;image/png;2020-12-16T16:22:09
7;systems Bedfordshire RAM;Land Visionary;../fake-data/blob/hipster.png;image/png;2020-12-16T16:44:50
8;Direct connect Graphic Interface;eco-centric black;../fake-data/blob/hipster.png;image/png;2020-12-16T12:53:24
9;strategize;Industrial;../fake-data/blob/hipster.png;image/png;2020-12-16T17:27:18
10;Cyprus Cayman Islands collaborative;Fantastic Granite Chicken paradigms system;../fake-data/blob/hipster.png;image/png;2020-12-17T01:52:24
